Product Name,Category,Cost Price,Selling Price,Quantity,Expiry Date (YYYY-MM-DD),Reorder Level
MILANO FACE CR,CREAM,,45.00,0,,
AMIS FACE CR,CREAM,,55.00,1,,
V22 CARROT FACE CR,CREAM,,48.00,2,,
AMIS HALF CAST FACE CR,CREAM,,65.00,1,,
BELLE VIE SOAP,SOAP,,35.00,0,,
TEA TREE FOAMING WASH,Uncategorized,,35.00,11,,
TEA TREE TONER,Uncategorized,,35.00,5,,
TEA TREE FACIAL SCRUB,Uncategorized,,35.00,9,,
VITAMIN C FACIAL SCRUB,Uncategorized,,35.00,6,,
VITAMIN C MOISTURISER,Uncategorized,,35.00,0,,
FEBREZE AIR MIST,Uncategorized,,40.00,1,,
TEA TREE CLEANING WIPE,Uncategorized,,23.00,1,,
KILIT INSECTICIDE,Uncategorized,,35.00,7,,
HEAVEN INSECTICIDE,Uncategorized,,38.00,20,,
GS 77 SHAMPOO,Uncategorized,,40.00,2,,
BODMAN SPRAY,SPRAY,,55.00,0,,
BELIEVE SPRAY(BAG),SPRAY,,150.00,1,,
SURE MEN,Uncategorized,,40.00,2,,
SURE WOMEN,Uncategorized,,40.00,3,,
DOVE MEN,Uncategorized,,40.00,6,,
DOVE WOMEN,Uncategorized,,40.00,3,,
RIGHT GUARD,Uncategorized,,40.00,0,,
V ONE,Uncategorized,,30.00,7,,
REXONA MEN,Uncategorized,,38.00,19,,
REXONA WOMEN,Uncategorized,,38.00,12,,
VIBE SPRAY,SPRAY,,30.00,4,,
GALAXY SPRAY,SPRAY,,35.00,7,,
MATELOT DOE SPRAY,SPRAY,,48.00,5,,
NIVEA MEN SPRAY B/S,SPRAY,,60.00,1,,
NIVEA MEN SPRAY M/S,SPRAY,,55.00,2,,
NIVEA MEN SPRAY S/S,SPRAY,,45.00,1,,
TODAY FAMINE WASH,Uncategorized,,22.00,1,,
ASANTE FACE CR,CREAM,,50.00,0,,
DR. RASHEL ANTI-AGING SUNSCREEN,Uncategorized,,45.00,2,,
DOVE BAR SOAP,SOAP,,50.00,2,,
SAIRO BABY SHAMPOOING,Uncategorized,,28.00,7,,
SAIRO ROUND SHOWER,Uncategorized,,40.00,2,,
SAIRO FAMILY,Uncategorized,,28.00,5,,
CARO WHITE GEL S/S,GEL,,24.00,4,,
PERFECT WHITE GEL S/S,GEL,,40.00,2,,
CARO WHITE GEL B/S,GEL,,40.00,3,,
AURATA GEL,GEL,,18.00,2,,
WHITE SECRET GEL S/S,GEL,,24.00,6,,
WHITE SECRET GEL B/S,GEL,,40.00,3,,
ALWAYS YOUNG GEL,GEL,,40.00,1,,
BRAVIA SHOWER GEL,GEL,,28.00,2,,
BERMIE BRAND GEL,GEL,,85.00,1,,
DOVE SHOWER GEL,GEL,,80.00,0,,
PAPAYA SHOWER GEL,GEL,,120.00,2,,
QUICK WHITE SHOWER GEL,GEL,,120.00,2,,
